Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.961851,-0.103139,-0.897807,9.385265,-0.385261,0,,,,,0.064048,-0.123443
-0.961098,-0.108462,-0.8963,9.385231,-0.377724,0,,,,,0.064801,-0.123441
-0.960344,-0.113521,-0.894794,9.385227,-0.370187,0,,,,,0.065555,-0.123439
-0.959591,-0.119251,-0.893287,9.385175,-0.36265,0,,,,,0.066308,-0.123437
-0.958837,-0.123727,-0.89178,9.385107,-0.355113,0,,,,,0.067062,-0.123435
-0.958084,-0.128087,-0.890273,9.385039,-0.347576,0,,,,,0.067815,-0.123433
-0.95733,-0.132944,-0.888766,9.385002,-0.340039,0,,,,,0.068569,-0.123431
-0.956577,-0.137786,-0.887259,9.38501,-0.332502,0,,,,,0.069322,-0.12343
-0.955823,-0.142332,-0.885752,9.385061,-0.324965,0,,,,,0.070076,-0.123428
-0.95507,-0.147211,-0.884245,9.385118,-0.317428,0,,,,,0.070829,-0.123427
-0.954316,-0.152812,-0.882738,9.385171,-0.309892,0,,,,,0.071583,-0.123425
-0.953563,-0.158178,-0.881231,9.385163,-0.302355,0,,,,,0.072336,-0.123424
-0.952809,-0.163732,-0.879724,9.385202,-0.294818,0,,,,,0.07309,-0.123422
-0.952056,-0.169598,-0.878217,9.385267,-0.287281,0,,,,,0.073843,-0.12342
-0.951302,-0.175755,-0.87671,9.385306,-0.279744,0,,,,,0.074597,-0.123419
-0.950549,-0.181061,-0.875203,9.385314,-0.272207,0,,,,,0.07535,-0.123417
-0.949795,-0.186802,-0.873696,9.385318,-0.26467,0,,,,,0.076104,-0.123416
-0.949042,-0.193631,-0.872189,9.385358,-0.257133,0,,,,,0.076857,-0.123414
-0.948288,-0.201225,-0.870682,9.385437,-0.249596,0,,,,,0.077611,-0.123413
-0.947535,-0.208824,-0.869175,9.385509,-0.242059,0,,,,,0.078364,-0.123411
-0.946781,-0.216039,-0.867668,9.38553,-0.234522,0,,,,,0.079118,-0.123409
-0.946028,-0.222985,-0.866161,9.385502,-0.226985,0,,,,,0.079872,-0.123408
-0.945274,-0.229874,-0.864654,9.38553,-0.219448,0,,,,,0.080625,-0.123406
-0.944521,-0.238871,-0.863147,9.385558,-0.211912,0,,,,,0.081378,-0.123405
-0.943767,-0.245709,-0.86164,9.385564,-0.204375,0,,,,,0.082132,-0.123403
-0.943014,-0.25244,-0.860133,9.385568,-0.196838,0,,,,,0.082886,-0.123401
-0.94226,-0.258382,-0.858626,9.385549,-0.189301,0,,,,,0.083639,-0.1234
-0.941507,-0.263297,-0.85712,9.385557,-0.181764,0,,,,,0.084393,-0.123398
-0.940753,-0.26782,-0.855613,9.385559,-0.174227,0,,,,,0.085146,-0.123396
-0.94,-0.272317,-0.854106,9.385551,-0.16669,0,,,,,0.085899,-0.123395
-0.939246,-0.276609,-0.852599,9.385619,-0.159153,0,,,,,0.086653,-0.123393
-0.938493,-0.280877,-0.851092,9.385676,-0.151616,0,,,,,0.087407,-0.123392
-0.937739,-0.285116,-0.849585,9.385715,-0.144079,0,,,,,0.08816,-0.12339
-0.936986,-0.288927,-0.848078,9.385782,-0.136542,0,,,,,0.088914,-0.123388
-0.936232,-0.293017,-0.846571,9.385775,-0.129005,0,,,,,0.089667,-0.123387
