Volume,Abs
0.105076,0.048705
0.105756,0.049214
0.106435,0.050053
0.107114,0.050415
0.107794,0.050586
0.108473,0.05051
0.109153,0.050352
0.109832,0.050857
0.110512,0.05134
0.111191,0.052245
0.11187,0.053605
0.11255,0.055487
0.113229,0.059126
0.113909,0.06215
0.114588,0.064919
0.115267,0.067793
0.115947,0.070668
0.116626,0.072846
0.117306,0.075073
0.117985,0.078191
0.118665,0.081636
0.119344,0.085022
0.120023,0.088086
0.120703,0.090648
0.121382,0.093787
0.122062,0.097089
0.122741,0.100295
0.12342,0.10326
0.1241,0.10599
0.124779,0.108931
0.125459,0.111875
0.126138,0.115127
0.126817,0.118475
0.127497,0.121546
0.128176,0.124238
0.128856,0.126778
0.129535,0.129365
0.130215,0.132448
0.130894,0.136053
0.131573,0.139724
0.132253,0.14392
0.132932,0.148035
0.133612,0.151966
0.134291,0.156063
0.13497,0.160689
0.13565,0.165598
0.136329,0.171202
0.137009,0.177436
0.137688,0.183214
0.138368,0.188265
0.139047,0.193378
0.139726,0.199135
0.140406,0.205034
0.141085,0.210925
0.141765,0.216564
0.142444,0.221834
0.143124,0.22728
0.143803,0.232709
0.144482,0.238238
0.145162,0.243913
0.145841,0.249538
0.146521,0.25471
0.1472,0.260998
0.147879,0.266962
0.148559,0.27292
0.149238,0.278787
0.149918,0.284477
0.150597,0.2905
0.151276,0.295646
0.151956,0.300643
0.152635,0.305317
0.153315,0.309305
0.153994,0.312228
0.154674,0.31472
0.155353,0.317338
0.156032,0.320054
0.156712,0.322578
0.157391,0.324915
0.158071,0.328305
0.15875,0.331233
0.159429,0.333424
0.160109,0.335063
0.160788,0.336772
0.161468,0.339378
0.162147,0.341953
0.162827,0.343847
0.163506,0.345521
0.164185,0.347661
0.164865,0.350378
0.165544,0.352846
0.166224,0.355067
0.166903,0.357367
0.167583,0.359969
0.168262,0.362486
0.168941,0.364862
0.169621,0.367589
0.1703,0.370405
0.17098,0.373157
0.171659,0.3758
0.172338,0.377252
0.173018,0.378661
0.173697,0.379835
0.174377,0.380708
0.175056,0.381375
0.175735,0.382208
0.176415,0.38315
0.177094,0.383712
0.177774,0.383656
0.178453,0.383075
0.179133,0.382386
0.179812,0.382296
0.180491,0.382425
0.181171,0.382009
0.18185,0.381071
0.18253,0.379908
0.183209,0.378883
0.183888,0.378336
0.184568,0.377671
0.185247,0.377536
0.185927,0.377428
0.186606,0.376165
0.187286,0.375307
0.187965,0.374326
0.188644,0.372524
0.189324,0.370547
0.190003,0.368957
0.190683,0.367253
0.191362,0.365012
0.192042,0.363662
0.192721,0.362941
0.1934,0.362351
0.19408,0.361431
0.194759,0.361015
0.195439,0.360626
0.196118,0.36002
0.196797,0.359046
0.197477,0.357686
0.198156,0.356095
0.198836,0.355015
0.199515,0.353373
0.200194,0.351811
0.200874,0.350578
0.201553,0.349578
0.202233,0.348822
0.202912,0.347223
0.203592,0.345593
0.204271,0.344598
0.20495,0.344123
0.20563,0.342688
0.206309,0.341456
0.206989,0.340462
0.207668,0.339085
0.208347,0.337143
0.209027,0.334838
0.209706,0.332826
0.210386,0.330837
0.211065,0.328982
0.211745,0.327102
0.212424,0.325194
0.213103,0.323601
0.213783,0.322783
0.214462,0.32154
0.215142,0.320034
0.215821,0.318411
0.216501,0.316864
0.21718,0.314958
0.217859,0.312464
0.218539,0.310054
0.219218,0.308523
0.219898,0.306412
0.220577,0.303947
0.221256,0.301526
0.221936,0.299049
0.222615,0.296568
0.223295,0.294471
0.223974,0.292987
0.224653,0.290741
0.225333,0.288555
0.226012,0.286611
0.226692,0.284641
0.227371,0.282012
0.228051,0.280258
0.22873,0.278346
0.229409,0.276458
0.230089,0.274949
0.230768,0.274109
0.231448,0.272969
0.232127,0.271725
0.232806,0.270458
0.233486,0.268816
0.234165,0.266469
0.234845,0.264132
0.235524,0.262705
0.236204,0.261225
0.236883,0.259755
0.237562,0.258219
0.238242,0.256208
0.238921,0.25467
0.239601,0.253299
0.24028,0.251572
0.24096,0.249817
0.241639,0.248592
0.242318,0.247791
0.242998,0.246381
0.243677,0.245136
0.244357,0.243842
0.245036,0.24241
0.245715,0.24103
0.246395,0.239275
0.247074,0.238542
0.247754,0.237583
0.248433,0.236099
0.249112,0.234434
0.249792,0.233758
0.250471,0.232979
0.251151,0.232201
0.25183,0.231371
0.25251,0.230437
0.253189,0.229386
0.253868,0.228498
0.254548,0.227228
0.255227,0.225568
0.255907,0.223929
0.256586,0.222705
0.257265,0.221723
0.257945,0.221081
0.258624,0.220112
0.259304,0.219554
0.259983,0.219198
0.260663,0.217869
0.261342,0.216747
0.262021,0.216829
0.262701,0.216561
0.26338,0.215806
0.26406,0.214998
0.264739,0.214715
0.265419,0.213567
0.266098,0.213011
0.266777,0.212143
0.267457,0.210679
0.268136,0.209108
0.268816,0.208205
0.269495,0.207364
0.270174,0.206448
0.270854,0.205361
0.271533,0.205251
0.272213,0.20462
0.272892,0.204051
0.273571,0.203499
0.274251,0.202856
0.27493,0.202388
0.27561,0.202399
0.276289,0.201587
0.276969,0.200699
0.277648,0.200066
0.278327,0.199507
0.279007,0.19905
0.279686,0.198922
0.280366,0.198837
0.281045,0.19881
0.281724,0.198694
0.282404,0.197725
0.283083,0.197323
0.283763,0.196718
0.284442,0.196094
0.285122,0.195628
0.285801,0.195391
0.28648,0.194988
0.28716,0.194413
0.287839,0.194165
0.288519,0.193726
0.289198,0.19276
0.289878,0.192059
0.290557,0.192179
0.291236,0.191716
0.291916,0.191324
0.292595,0.191142
0.293275,0.190824
0.293954,0.190082
0.294633,0.189539
0.295313,0.189016
0.295992,0.188316
0.296672,0.187649
0.297351,0.188092
0.29803,0.188075
0.29871,0.187431
0.299389,0.186505
0.300069,0.185611
0.300748,0.184986
0.301428,0.184751
0.302107,0.184488
0.302786,0.184349
0.303466,0.183712
0.304145,0.182501
0.304825,0.182012
