Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.955076,-0.044637,-0.88447,16.454231,-0.319461,0,,,,,,,0.070606,-1.311795
-0.954246,-0.045028,-0.882808,16.454304,-0.311152,0,,,,,,,0.071437,-1.311795
-0.953415,-0.045047,-0.881147,16.454445,-0.302844,0,,,,,,,0.072268,-1.311795
-0.952584,-0.045201,-0.879486,16.45447,-0.294535,0,,,,,,,0.073098,-1.311795
-0.951753,-0.045204,-0.877824,16.454556,-0.286227,0,,,,,,,0.073929,-1.311795
-0.950923,-0.045484,-0.876163,16.454752,-0.277918,0,,,,,,,0.07476,-1.311795
-0.950092,-0.045315,-0.874502,16.454876,-0.26961,0,,,,,,,0.07559,-1.311795
-0.949262,-0.045581,-0.87284,16.455103,-0.261301,0,,,,,,,0.076421,-1.311795
-0.948431,-0.046108,-0.871179,16.455229,-0.252993,0,,,,,,,0.077252,-1.311795
-0.9476,-0.046072,-0.869518,16.455431,-0.244684,0,,,,,,,0.078082,-1.311795
-0.94677,-0.04639,-0.867856,16.455484,-0.236376,0,,,,,,,0.078913,-1.311795
-0.945939,-0.047133,-0.866195,16.455563,-0.228067,0,,,,,,,0.079744,-1.311795
-0.945108,-0.047636,-0.864534,16.455706,-0.219759,0,,,,,,,0.080574,-1.311795
-0.944278,-0.048144,-0.862872,16.455976,-0.21145,0,,,,,,,0.081405,-1.311795
-0.943447,-0.04824,-0.861211,16.456171,-0.203142,0,,,,,,,0.082236,-1.311795
-0.942616,-0.047868,-0.85955,16.456314,-0.194833,0,,,,,,,0.083066,-1.311795
-0.941786,-0.047541,-0.857888,16.456388,-0.186525,0,,,,,,,0.083897,-1.311795
-0.940955,-0.046706,-0.856227,16.456587,-0.178216,0,,,,,,,0.084728,-1.311795
-0.940124,-0.046375,-0.854566,16.456665,-0.169908,0,,,,,,,0.085558,-1.311795
-0.939294,-0.045624,-0.852904,16.456804,-0.161599,0,,,,,,,0.086389,-1.311795
-0.938463,-0.045289,-0.851243,16.457001,-0.153291,0,,,,,,,0.08722,-1.311795
-0.937632,-0.045088,-0.849582,16.457172,-0.144982,0,,,,,,,0.08805,-1.311795
-0.936802,-0.044761,-0.847921,16.457191,-0.136674,0,,,,,,,0.088881,-1.311795
-0.935971,-0.044503,-0.846259,16.457308,-0.128365,0,,,,,,,0.089712,-1.311795
-0.93514,-0.044358,-0.844598,16.457294,-0.120057,0,,,,,,,0.090542,-1.311795
-0.93431,-0.044223,-0.842937,16.457439,-0.111748,0,,,,,,,0.091373,-1.311795
-0.933479,-0.044047,-0.841275,16.457535,-0.10344,0,,,,,,,0.092204,-1.311795
-0.932648,-0.044155,-0.839614,16.457592,-0.095132,0,,,,,,,0.093034,-1.311795
-0.931818,-0.044243,-0.837953,16.457649,-0.086823,0,,,,,,,0.093865,-1.311795
-0.930987,-0.043882,-0.836291,16.457829,-0.078515,0,,,,,,,0.094696,-1.311795
-0.930156,-0.043878,-0.83463,16.457802,-0.070206,0,,,,,,,0.095526,-1.311795
-0.929326,-0.043394,-0.832969,16.457951,-0.061898,0,,,,,,,0.096357,-1.311795
-0.928495,-0.042879,-0.831307,16.457991,-0.053589,0,,,,,,,0.097188,-1.311795
-0.927664,-0.042724,-0.829646,16.458048,-0.045281,0,,,,,,,0.098018,-1.311795
-0.926834,-0.042606,-0.827985,16.45812,-0.036972,0,,,,,,,0.098849,-1.311795
-0.926003,-0.042258,-0.826323,16.45813,-0.028664,0,,,,,,,0.09968,-1.311795
-0.925172,-0.041633,-0.824662,16.458075,-0.020355,0,,,,,,,0.10051,-1.311795
-0.924342,-0.04149,-0.823001,16.458092,-0.012047,0,,,,,,,0.101341,-1.311795
-0.923511,-0.041104,-0.821339,16.458073,-0.003738,0,,,,,,,0.102172,-1.311795
-0.92268,-0.04075,-0.819678,16.457989,0.00457,0,,,,,,,0.103002,-1.311795
-0.92185,-0.040656,-0.818017,16.457935,0.012879,0,,,,,,,0.103833,-1.311795
-0.921019,-0.040049,-0.816355,16.457924,0.021187,0,,,,,,,0.104664,-1.311795
-0.920188,-0.039984,-0.814694,16.457973,0.029496,0,,,,,,,0.105494,-1.311795
-0.919358,-0.039769,-0.813033,16.457926,0.037804,0,,,,,,,0.106325,-1.311795
-0.918527,-0.039026,-0.811371,16.457916,0.046113,0,,,,,,,0.107156,-1.311795
-0.917696,-0.038865,-0.80971,16.457897,0.054421,0,,,,,,,0.107986,-1.311795
-0.916866,-0.038728,-0.808049,16.457863,0.06273,0,,,,,,,0.108817,-1.311795
-0.916035,-0.038206,-0.806387,16.457853,0.071038,0,,,,,,,0.109648,-1.311795
-0.915204,-0.037838,-0.804726,16.457926,0.079347,0,,,,,,,0.110478,-1.311795
-0.914374,-0.03711,-0.803065,16.458023,0.087655,0,,,,,,,0.111309,-1.311795
-0.913543,-0.035976,-0.801403,16.458071,0.095964,0,,,,,,,0.11214,-1.311795
-0.912712,-0.034952,-0.799742,16.458117,0.104272,0,,,,,,,0.11297,-1.311795
