Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.916767,0.043262,-0.808046,9.380379,0.061563,0,,,,,0.108707,-1.208363
-0.916087,0.044582,-0.806687,9.380391,0.068357,0,,,,,0.109386,-1.208363
-0.915408,0.045906,-0.805328,9.380403,0.075151,0,,,,,0.110065,-1.208363
-0.914728,0.047794,-0.803969,9.380399,0.081945,0,,,,,0.110745,-1.208363
-0.914049,0.049857,-0.80261,9.380382,0.088739,0,,,,,0.111424,-1.208363
-0.913369,0.051911,-0.801251,9.380363,0.095533,0,,,,,0.112104,-1.208363
-0.91269,0.053991,-0.799892,9.380385,0.102327,0,,,,,0.112783,-1.208363
-0.912011,0.056628,-0.798533,9.380424,0.10912,0,,,,,0.113463,-1.208363
-0.911331,0.059235,-0.797174,9.380413,0.115914,0,,,,,0.114142,-1.208363
-0.910652,0.065548,-0.795815,9.380314,0.122708,0,,,,,0.114821,-1.208363
-0.909972,0.081252,-0.794456,9.380206,0.129502,0,,,,,0.115501,-1.208363
-0.909293,0.109544,-0.793097,9.380102,0.136296,0,,,,,0.11618,-1.208363
-0.908614,0.149713,-0.791739,9.380051,0.14309,0,,,,,0.11686,-1.208363
-0.907934,0.197719,-0.79038,9.380013,0.149884,0,,,,,0.117539,-1.208363
-0.907255,0.245042,-0.789021,9.379971,0.156678,0,,,,,0.118219,-1.208363
-0.906575,0.29029,-0.787662,9.379925,0.163472,0,,,,,0.118898,-1.208363
-0.905896,0.334345,-0.786303,9.379888,0.170266,0,,,,,0.119577,-1.208363
-0.905216,0.379069,-0.784944,9.379859,0.17706,0,,,,,0.120257,-1.208363
-0.904537,0.424598,-0.783585,9.379819,0.183854,0,,,,,0.120936,-1.208363
-0.903858,0.470059,-0.782226,9.379766,0.190648,0,,,,,0.121616,-1.208363
-0.903178,0.513987,-0.780867,9.37972,0.197442,0,,,,,0.122295,-1.208363
-0.902499,0.55665,-0.779508,9.379733,0.204236,0,,,,,0.122974,-1.208363
-0.901819,0.599141,-0.778149,9.379721,0.21103,0,,,,,0.123654,-1.208363
-0.90114,0.642601,-0.77679,9.379711,0.217824,0,,,,,0.124333,-1.208363
-0.900461,0.684419,-0.775431,9.379698,0.224618,0,,,,,0.125013,-1.208363
-0.899781,0.72581,-0.774073,9.379682,0.231412,0,,,,,0.125692,-1.208363
-0.899102,0.766006,-0.772714,9.379673,0.238206,0,,,,,0.126372,-1.208363
-0.898422,0.804678,-0.771355,9.379663,0.245,0,,,,,0.127051,-1.208363
-0.897743,0.842499,-0.769996,9.379653,0.251794,0,,,,,0.12773,-1.208363
-0.897063,0.879625,-0.768637,9.379614,0.258588,0,,,,,0.12841,-1.208363
-0.896384,0.918274,-0.767278,9.379594,0.265382,0,,,,,0.129089,-1.208363
-0.895705,0.958783,-0.765919,9.379628,0.272176,0,,,,,0.129769,-1.208363
-0.895025,1.001846,-0.76456,9.379684,0.27897,0,,,,,0.130448,-1.208363
-0.894346,1.048843,-0.763201,9.379721,0.285764,0,,,,,0.131127,-1.208363
-0.893666,1.104369,-0.761842,9.379731,0.292558,0,,,,,0.131807,-1.208363
-0.892987,1.165194,-0.760483,9.37973,0.299352,0,,,,,0.132486,-1.208363
-0.892308,1.233701,-0.759124,9.379747,0.306146,0,,,,,0.133166,-1.208363
-0.891628,1.311564,-0.757765,9.379805,0.31294,0,,,,,0.133845,-1.208363
-0.890949,1.399769,-0.756406,9.379801,0.319734,0,,,,,0.134524,-1.208363
-0.890269,1.498827,-0.755048,9.379786,0.326528,0,,,,,0.135204,-1.208363
-0.88959,1.610676,-0.753689,9.37981,0.333322,0,,,,,0.135883,-1.208363
-0.88891,1.736493,-0.75233,9.379837,0.340116,0,,,,,0.136563,-1.208363
-0.888231,1.875593,-0.750971,9.379856,0.34691,0,,,,,0.137242,-1.208363
-0.887552,2.025854,-0.749612,9.379935,0.353704,0,,,,,0.137922,-1.208363
-0.886872,2.184339,-0.748253,9.380017,0.360498,0,,,,,0.138601,-1.208363
-0.886193,2.349768,-0.746894,9.38011,0.367292,0,,,,,0.13928,-1.208363
-0.885513,2.522046,-0.745535,9.380188,0.374086,0,,,,,0.13996,-1.208363
-0.884834,2.696943,-0.744176,9.38024,0.38088,0,,,,,0.140639,-1.208363
-0.884155,2.874539,-0.742817,9.380248,0.387673,0,,,,,0.141319,-1.208363
-0.883475,3.05342,-0.741458,9.380308,0.394467,0,,,,,0.141998,-1.208363
-0.882796,3.229617,-0.740099,9.380366,0.401261,0,,,,,0.142678,-1.208363
-0.882116,3.406818,-0.738741,9.3804,0.408055,0,,,,,0.143357,-1.208363
-0.881437,3.578955,-0.737382,9.38041,0.414849,0,,,,,0.144036,-1.208363
-0.880757,3.747828,-0.736023,9.380414,0.421643,0,,,,,0.144716,-1.208363
-0.880078,3.913699,-0.734664,9.380434,0.428437,0,,,,,0.145395,-1.208363
-0.879399,4.076234,-0.733305,9.380412,0.435231,0,,,,,0.146075,-1.208363
-0.878719,4.234862,-0.731946,9.380442,0.442025,0,,,,,0.146754,-1.208363
-0.87804,4.393656,-0.730587,9.380509,0.448819,0,,,,,0.147433,-1.208363
-0.87736,4.549852,-0.729228,9.380581,0.455613,0,,,,,0.148113,-1.208363
-0.876681,4.703559,-0.727869,9.380664,0.462407,0,,,,,0.148792,-1.208363
-0.876002,4.854602,-0.72651,9.380632,0.469201,0,,,,,0.149472,-1.208363
-0.875322,5.002547,-0.725151,9.380657,0.475995,0,,,,,0.150151,-1.208363
-0.874643,5.150322,-0.723792,9.380725,0.482789,0,,,,,0.150831,-1.208363
-0.873963,5.29256,-0.722433,9.380791,0.489583,0,,,,,0.15151,-1.208363
-0.873284,5.434976,-0.721074,9.380799,0.496377,0,,,,,0.152189,-1.208363
-0.872604,5.575038,-0.719716,9.380792,0.503171,0,,,,,0.152869,-1.208363
-0.871925,5.710357,-0.718357,9.380758,0.509965,0,,,,,0.153548,-1.208363
-0.871246,5.847247,-0.716998,9.380708,0.516759,0,,,,,0.154228,-1.208363
-0.870566,5.978576,-0.715639,9.380673,0.523553,0,,,,,0.154907,-1.208363
-0.869887,6.108745,-0.71428,9.38067,0.530347,0,,,,,0.155586,-1.208363
-0.869207,6.235932,-0.712921,9.380635,0.537141,0,,,,,0.156266,-1.208363
-0.868528,6.354841,-0.711562,9.380681,0.543935,0,,,,,0.156945,-1.208363
-0.867849,6.457728,-0.710203,9.380761,0.550729,0,,,,,0.157625,-1.208363
-0.867169,6.54191,-0.708844,9.380824,0.557523,0,,,,,0.158304,-1.208363
-0.86649,6.61985,-0.707485,9.380849,0.564317,0,,,,,0.158983,-1.208363
-0.86581,6.695751,-0.706126,9.380848,0.571111,0,,,,,0.159663,-1.208363
-0.865131,6.77018,-0.704767,9.380912,0.577905,0,,,,,0.160342,-1.208363
-0.864451,6.842792,-0.703408,9.380945,0.584699,0,,,,,0.161022,-1.208363
-0.863772,6.915123,-0.70205,9.380989,0.591493,0,,,,,0.161701,-1.208363
-0.863093,6.985216,-0.700691,9.381014,0.598287,0,,,,,0.162381,-1.208363
-0.862413,7.055063,-0.699332,9.381014,0.605081,0,,,,,0.16306,-1.208363
-0.861734,7.124897,-0.697973,9.381048,0.611875,0,,,,,0.163739,-1.208363
-0.861054,7.194774,-0.696614,9.381051,0.618669,0,,,,,0.164419,-1.208363
-0.860375,7.264643,-0.695255,9.380983,0.625463,0,,,,,0.165098,-1.208363
-0.859696,7.332856,-0.693896,9.380933,0.632257,0,,,,,0.165778,-1.208363
-0.859016,7.401482,-0.692537,9.380919,0.63905,0,,,,,0.166457,-1.208363
-0.858337,7.469572,-0.691178,9.380917,0.645844,0,,,,,0.167137,-1.208363
-0.857657,7.537962,-0.689819,9.380891,0.652638,0,,,,,0.167816,-1.208363
-0.856978,7.60774,-0.68846,9.380876,0.659432,0,,,,,0.168495,-1.208363
-0.856298,7.67897,-0.687101,9.380846,0.666226,0,,,,,0.169175,-1.208363
-0.855619,7.749622,-0.685742,9.380799,0.67302,0,,,,,0.169854,-1.208363
-0.85494,7.819853,-0.684384,9.380763,0.679814,0,,,,,0.170534,-1.208363
-0.85426,7.88688,-0.683025,9.380803,0.686608,0,,,,,0.171213,-1.208363
-0.853581,7.948158,-0.681666,9.380774,0.693402,0,,,,,0.171892,-1.208363
-0.852901,8.002164,-0.680307,9.380743,0.700196,0,,,,,0.172572,-1.208363
-0.852222,8.046671,-0.678948,9.380738,0.70699,0,,,,,0.173251,-1.208363
-0.851543,8.0889,-0.677589,9.380747,0.713784,0,,,,,0.173931,-1.208363
-0.850863,8.127014,-0.67623,9.380687,0.720578,0,,,,,0.17461,-1.208363
-0.850184,8.157296,-0.674871,9.380651,0.727372,0,,,,,0.17529,-1.208363
-0.849504,8.174539,-0.673512,9.380582,0.734166,0,,,,,0.175969,-1.208363
-0.848825,8.179582,-0.672153,9.380515,0.74096,0,,,,,0.176648,-1.208363
-0.848145,8.173227,-0.670794,9.380472,0.747754,0,,,,,0.177328,-1.208363
-0.847466,8.154718,-0.669435,9.380448,0.754548,0,,,,,0.178007,-1.208363
-0.846787,8.123132,-0.668077,9.380417,0.761342,0,,,,,0.178687,-1.208363
-0.846107,8.076891,-0.666718,9.380386,0.768136,0,,,,,0.179366,-1.208363
-0.845428,8.019412,-0.665359,9.380402,0.77493,0,,,,,0.180045,-1.208363
-0.844748,7.95407,-0.664,9.380439,0.781724,0,,,,,0.180725,-1.208363
-0.844069,7.881955,-0.662641,9.380469,0.788518,0,,,,,0.181404,-1.208363
-0.84339,7.80401,-0.661282,9.38052,0.795312,0,,,,,0.182084,-1.208363
-0.84271,7.721279,-0.659923,9.380485,0.802106,0,,,,,0.182763,-1.208363
-0.842031,7.636239,-0.658564,9.38044,0.8089,0,,,,,0.183442,-1.208363
-0.841351,7.551861,-0.657205,9.380432,0.815694,0,,,,,0.184122,-1.208363
-0.840672,7.467607,-0.655846,9.380456,0.822488,0,,,,,0.184801,-1.208363
-0.839992,7.383993,-0.654487,9.380463,0.829282,0,,,,,0.185481,-1.208363
